epoch,step,train_loss_epoch,train_loss_step,val/mse,val/r2,val_loss
0,49,,0.27044913172721863,,,
0,56,,,0.7066773772239685,0.3039863109588623,0.7066773772239685
0,56,0.43539613485336304,,,,
1,99,,0.21590812504291534,,,
1,113,,,0.7427607774734497,0.2684474587440491,0.7427607774734497
1,113,0.23938970267772675,,,,
2,149,,0.18799632787704468,,,
2,170,,,0.25684598088264465,0.7470297813415527,0.25684598088264465
2,170,0.21809180080890656,,,,
3,199,,0.17882148921489716,,,
3,227,,,0.1947792023420334,0.8081600069999695,0.1947792023420334
3,227,0.204429030418396,,,,
4,249,,0.15906114876270294,,,
4,284,,,0.21720173954963684,0.7860758304595947,0.21720173954963684
4,284,0.16978172957897186,,,,
5,299,,0.14612498879432678,,,
5,341,,,0.28920602798461914,0.7151581048965454,0.28920602798461914
5,341,0.1743462085723877,,,,
6,349,,0.2069328874349594,,,
6,398,,,0.18484175205230713,0.817947506904602,0.18484175205230713
6,398,0.1737094670534134,,,,
7,399,,0.11325828731060028,,,
7,449,,0.14259175956249237,,,
7,455,,,0.2048349231481552,0.7982560396194458,0.2048349231481552
7,455,0.15270228683948517,,,,
8,499,,0.1294095516204834,,,
8,512,,,0.1765620857477188,0.8261022567749023,0.1765620857477188
8,512,0.15131765604019165,,,,
9,549,,0.12733127176761627,,,
9,569,,,0.1799723505973816,0.8227434158325195,0.1799723505973816
9,569,0.1360584944486618,,,,
10,599,,0.08708456158638,,,
10,626,,,0.16481129825115204,0.8376756906509399,0.16481129825115204
10,626,0.12597662210464478,,,,
11,649,,0.09063515067100525,,,
11,683,,,0.15537695586681366,0.8469676971435547,0.15537695586681366
11,683,0.11801144480705261,,,,
12,699,,0.10726209729909897,,,
12,740,,,0.1621922254562378,0.8402552604675293,0.1621922254562378
12,740,0.11799471825361252,,,,
13,749,,0.14308343827724457,,,
13,797,,,0.17701952159404755,0.8256517052650452,0.17701952159404755
13,797,0.13744071125984192,,,,
14,799,,0.11598062515258789,,,
14,849,,0.1731688678264618,,,
14,854,,,0.15872110426425934,0.8436740040779114,0.15872110426425934
14,854,0.11812030524015427,,,,
15,899,,0.11750101298093796,,,
15,911,,,0.1615137904882431,0.8409234285354614,0.1615137904882431
15,911,0.11168652772903442,,,,
16,949,,0.11166571825742722,,,
16,968,,,0.15908613801002502,0.8433144688606262,0.15908613801002502
16,968,0.10498617589473724,,,,
17,999,,0.10426653921604156,,,
17,1025,,,0.1638595312833786,0.8386130928993225,0.1638595312833786
17,1025,0.09780410677194595,,,,
18,1049,,0.12999096512794495,,,
18,1082,,,0.15727192163467407,0.8451012969017029,0.15727192163467407
